

	|DISTANCIA|GALONES|COMBUSTIBLE PROMEDIO	|GASTOS VARIOS |


8	| 900.000 |  15   |      2304.00l       |      4200528       |


9	| 900.000 |  15   |      2112.00l       |      4200528       |


10	| 900.000 |  15   |      1920.00l       |      4200528       |


11	| 900.000 |  15   |      1728.00l       |      4200528       |


12	| 900.000 |  15   |      1536.00l       |      4200528       |


13	| 900.000 |  15   |      1344.00l       |      4200528       |


14	| 900.000 |  15   |      1344.00l       |      4200528       |


15	| 900.000 |  15   |      1152.00l       |      4200528       |


16	| 900.000 |  15   |      1152.00l       |      4200528       |
